Account name,Account type,Email,Location,Country,Connected endpoint,Primary connectivity,Event type
endpoint-35,User,user35@demo.example,London,GB,Yes,PN,Registration
endpoint-36,Virtual Line,user36@demo.example,Singapore,SG,Yes,SIP,Registration
endpoint-37,User,user37@demo.example,Singapore,US,Yes,SIP,Registration
endpoint-38,User,user38@demo.example,Chicago,US,Yes,SIP,Registration
endpoint-39,User,user39@demo.example,Denver,US,Yes,PN,Registration
endpoint-40,User,user40@demo.example,Chicago,US,Yes,SIP,Registration
endpoint-41,Virtual Line,user41@demo.example,London,US,Yes,SIP,Registration
endpoint-42,Virtual Line,user42@demo.example,Dallas,GB,Yes,PN,Registration
endpoint-43,Place,user43@demo.example,Singapore,SG,Yes,SIP,Registration
endpoint-44,User,user44@demo.example,Singapore,US,Yes,PN,Registration
endpoint-45,User,user45@demo.example,Singapore,US,Yes,PN,Registration
endpoint-46,User,user46@demo.example,Chicago,US,Yes,PN,Registration
endpoint-47,User,user47@demo.example,London,SG,Yes,SIP,Registration
endpoint-48,User,user48@demo.example,Dallas,SG,Yes,SIP,Registration
endpoint-49,Virtual Line,user49@demo.example,Chicago,US,Yes,PN,Registration
endpoint-50,Place,user50@demo.example,Chicago,US,Yes,SIP,Registration
endpoint-51,User,user51@demo.example,Chicago,GB,Yes,SIP,Registration
endpoint-52,User,user52@demo.example,Chicago,US,Yes,SIP,Registration
endpoint-53,User,user53@demo.example,Chicago,GB,Yes,SIP,Registration
endpoint-54,Place,user54@demo.example,Dallas,SG,Yes,PN,Registration
endpoint-55,User,user55@demo.example,Dallas,SG,Yes,SIP,Registration
endpoint-56,User,user56@demo.example,Singapore,GB,Yes,PN,Registration
endpoint-57,User,user57@demo.example,London,SG,Yes,SIP,Registration
endpoint-58,Virtual Line,user58@demo.example,London,SG,Yes,PN,Registration
endpoint-59,Place,user59@demo.example,Chicago,US,Yes,PN,Registration
endpoint-60,Place,user60@demo.example,Singapore,US,Yes,PN,Registration
endpoint-61,User,user61@demo.example,London,GB,Yes,SIP,Registration
endpoint-62,User,user62@demo.example,London,US,Yes,PN,Registration
endpoint-63,User,user63@demo.example,Chicago,GB,Yes,SIP,Registration
endpoint-64,User,user64@demo.example,Denver,GB,Yes,SIP,Registration
endpoint-65,Place,user65@demo.example,Dallas,US,Yes,SIP,Registration
endpoint-66,User,user66@demo.example,Dallas,US,Yes,SIP,Registration
endpoint-67,User,user67@demo.example,Dallas,GB,Yes,PN,Registration
endpoint-68,Virtual Line,user68@demo.example,Singapore,US,Yes,SIP,Registration
endpoint-69,Place,user69@demo.example,London,US,Yes,PN,Registration
endpoint-70,User,user70@demo.example,Dallas,GB,Yes,SIP,Registration
endpoint-71,Virtual Line,user71@demo.example,Denver,GB,Yes,PN,Registration
endpoint-72,Place,user72@demo.example,Denver,US,Yes,SIP,Registration
endpoint-73,Place,user73@demo.example,Singapore,SG,Yes,PN,Registration
endpoint-74,Virtual Line,user74@demo.example,Dallas,US,Yes,PN,Registration
endpoint-75,User,user75@demo.example,Singapore,US,Yes,PN,Registration
endpoint-76,User,user76@demo.example,Dallas,SG,Yes,PN,Registration
endpoint-77,Place,user77@demo.example,Denver,US,Yes,SIP,Registration
endpoint-78,Virtual Line,user78@demo.example,Chicago,US,Yes,PN,Registration
endpoint-79,Virtual Line,user79@demo.example,Denver,GB,Yes,SIP,Registration
endpoint-80,User,user80@demo.example,Chicago,GB,Yes,SIP,Registration
endpoint-81,User,user81@demo.example,Dallas,SG,Yes,SIP,Registration
endpoint-82,Virtual Line,user82@demo.example,London,GB,Yes,PN,Registration
endpoint-83,Place,user83@demo.example,Singapore,US,Yes,PN,Registration
endpoint-84,User,user84@demo.example,London,US,Yes,SIP,Registration
endpoint-85,User,user85@demo.example,Chicago,US,Yes,PN,Registration
endpoint-86,User,user86@demo.example,Denver,GB,Yes,PN,Registration
endpoint-87,User,user87@demo.example,London,US,Yes,PN,Registration
endpoint-88,User,user88@demo.example,London,US,Yes,PN,Registration
endpoint-89,Virtual Line,user89@demo.example,Singapore,US,Yes,PN,Registration
endpoint-90,User,user90@demo.example,Singapore,US,Yes,PN,Registration
endpoint-91,User,user91@demo.example,London,SG,Yes,SIP,Registration
endpoint-92,User,user92@demo.example,London,SG,Yes,PN,Registration
endpoint-93,Virtual Line,user93@demo.example,Singapore,GB,Yes,SIP,Registration
endpoint-94,Place,user94@demo.example,London,US,Yes,SIP,Registration
endpoint-95,Place,user95@demo.example,Chicago,US,Yes,PN,Registration
endpoint-96,Place,user96@demo.example,Denver,GB,Yes,SIP,Registration
