Account name,Account type,Email,Location,Country,Connected endpoint,Primary connectivity,Event type
endpoint-30,Place,user30@demo.example,London,US,Yes,SIP,Registration
endpoint-31,Place,user31@demo.example,Denver,US,Yes,SIP,Registration
endpoint-32,User,user32@demo.example,Singapore,US,Yes,PN,Registration
endpoint-33,User,user33@demo.example,Chicago,GB,Yes,PN,Registration
endpoint-34,Place,user34@demo.example,Chicago,US,Yes,SIP,Registration
endpoint-35,User,user35@demo.example,Dallas,US,Yes,PN,Registration
endpoint-36,Place,user36@demo.example,Singapore,US,Yes,PN,Registration
endpoint-37,Place,user37@demo.example,Chicago,SG,Yes,SIP,Registration
endpoint-38,Place,user38@demo.example,London,US,Yes,PN,Registration
endpoint-39,Place,user39@demo.example,Chicago,US,Yes,SIP,Registration
endpoint-40,User,user40@demo.example,Singapore,US,Yes,SIP,Registration
endpoint-41,Virtual Line,user41@demo.example,Chicago,SG,Yes,PN,Registration
endpoint-42,Virtual Line,user42@demo.example,Singapore,US,Yes,PN,Registration
endpoint-43,User,user43@demo.example,Singapore,US,Yes,SIP,Registration
endpoint-44,Place,user44@demo.example,Dallas,US,Yes,SIP,Registration
endpoint-45,User,user45@demo.example,London,US,Yes,SIP,Registration
endpoint-46,User,user46@demo.example,Singapore,US,Yes,PN,Registration
endpoint-47,User,user47@demo.example,Singapore,GB,Yes,SIP,Registration
endpoint-48,Virtual Line,user48@demo.example,Singapore,US,Yes,SIP,Registration
endpoint-49,Virtual Line,user49@demo.example,Dallas,SG,Yes,SIP,Registration
endpoint-50,Place,user50@demo.example,Denver,US,Yes,PN,Registration
endpoint-51,Virtual Line,user51@demo.example,Singapore,GB,Yes,PN,Registration
endpoint-52,User,user52@demo.example,Singapore,US,Yes,PN,Registration
endpoint-53,Place,user53@demo.example,Singapore,SG,Yes,SIP,Registration
endpoint-54,User,user54@demo.example,London,US,Yes,PN,Registration
endpoint-55,User,user55@demo.example,Singapore,US,Yes,SIP,Registration
endpoint-56,User,user56@demo.example,Dallas,US,Yes,SIP,Registration
endpoint-57,User,user57@demo.example,Chicago,US,Yes,PN,Registration
endpoint-58,User,user58@demo.example,Dallas,GB,Yes,SIP,Registration
endpoint-59,User,user59@demo.example,Dallas,US,Yes,SIP,Registration
endpoint-60,Virtual Line,user60@demo.example,Chicago,GB,Yes,SIP,Registration
endpoint-61,Virtual Line,user61@demo.example,Dallas,US,Yes,SIP,Registration
endpoint-62,Place,user62@demo.example,Denver,SG,Yes,PN,Registration
endpoint-63,Place,user63@demo.example,London,US,Yes,SIP,Registration
endpoint-64,User,user64@demo.example,London,GB,Yes,SIP,Registration
endpoint-65,User,user65@demo.example,London,SG,Yes,PN,Registration
endpoint-66,Virtual Line,user66@demo.example,Chicago,GB,Yes,SIP,Registration
endpoint-67,Virtual Line,user67@demo.example,London,US,Yes,SIP,Registration
endpoint-68,User,user68@demo.example,London,GB,Yes,SIP,Registration
endpoint-69,Virtual Line,user69@demo.example,Chicago,GB,Yes,SIP,Registration
endpoint-70,Place,user70@demo.example,Denver,US,Yes,PN,Registration
endpoint-71,User,user71@demo.example,London,US,Yes,PN,Registration
endpoint-72,Place,user72@demo.example,Denver,US,Yes,PN,Registration
endpoint-73,User,user73@demo.example,Denver,SG,Yes,PN,Registration
endpoint-74,Place,user74@demo.example,Dallas,SG,Yes,SIP,Registration
endpoint-75,Virtual Line,user75@demo.example,Dallas,US,Yes,SIP,Registration
endpoint-76,Virtual Line,user76@demo.example,London,US,Yes,SIP,Registration
endpoint-77,User,user77@demo.example,Denver,GB,Yes,PN,Registration
endpoint-78,User,user78@demo.example,Denver,GB,Yes,PN,Registration
endpoint-79,User,user79@demo.example,Chicago,US,Yes,SIP,Registration
endpoint-80,Place,user80@demo.example,Denver,US,Yes,SIP,Registration
endpoint-81,Virtual Line,user81@demo.example,Singapore,US,Yes,SIP,Registration
endpoint-82,User,user82@demo.example,Denver,SG,Yes,PN,Registration
endpoint-83,User,user83@demo.example,London,US,Yes,SIP,Registration
endpoint-84,User,user84@demo.example,Denver,SG,Yes,PN,Registration
endpoint-85,Place,user85@demo.example,Singapore,US,Yes,PN,Registration
endpoint-86,Place,user86@demo.example,Chicago,SG,Yes,PN,Registration
endpoint-87,User,user87@demo.example,Dallas,GB,Yes,SIP,Registration
endpoint-88,Place,user88@demo.example,Denver,SG,Yes,SIP,Registration
endpoint-89,Place,user89@demo.example,London,US,Yes,PN,Registration
endpoint-90,User,user90@demo.example,Chicago,US,Yes,SIP,Registration
endpoint-91,User,user91@demo.example,London,US,Yes,SIP,Registration
endpoint-92,Virtual Line,user92@demo.example,London,US,Yes,SIP,Registration
endpoint-93,Virtual Line,user93@demo.example,Dallas,US,Yes,SIP,Registration
endpoint-94,User,user94@demo.example,Denver,US,Yes,SIP,Registration
endpoint-95,Place,user95@demo.example,Chicago,SG,Yes,SIP,Registration
endpoint-96,Place,user96@demo.example,Singapore,SG,Yes,SIP,Registration
endpoint-97,User,user97@demo.example,Denver,US,Yes,SIP,Registration
endpoint-98,User,user98@demo.example,Denver,US,Yes,SIP,Registration
endpoint-99,Virtual Line,user99@demo.example,Denver,US,Yes,SIP,Registration
endpoint-100,Virtual Line,user100@demo.example,Dallas,SG,Yes,PN,Registration
endpoint-101,User,user101@demo.example,Chicago,US,Yes,PN,Registration
endpoint-102,User,user102@demo.example,London,GB,Yes,PN,Registration
endpoint-103,Virtual Line,user103@demo.example,Singapore,US,Yes,SIP,Registration
endpoint-104,User,user104@demo.example,Singapore,US,Yes,PN,Registration
endpoint-105,User,user105@demo.example,Dallas,US,Yes,SIP,Registration
endpoint-106,User,user106@demo.example,Dallas,US,Yes,SIP,Registration
endpoint-107,User,user107@demo.example,Dallas,GB,Yes,PN,Registration
endpoint-108,User,user108@demo.example,London,US,Yes,SIP,Registration
endpoint-109,User,user109@demo.example,Chicago,US,Yes,PN,Registration
endpoint-110,Place,user110@demo.example,London,US,Yes,SIP,Registration
endpoint-111,User,user111@demo.example,London,SG,Yes,SIP,Registration
endpoint-112,User,user112@demo.example,Denver,US,Yes,SIP,Registration
endpoint-113,Virtual Line,user113@demo.example,Chicago,US,Yes,SIP,Registration
endpoint-114,User,user114@demo.example,Chicago,US,Yes,PN,Registration
endpoint-115,User,user115@demo.example,London,US,Yes,SIP,Registration
endpoint-116,Place,user116@demo.example,Singapore,GB,Yes,PN,Registration
endpoint-117,User,user117@demo.example,Singapore,US,Yes,PN,Registration
endpoint-118,Virtual Line,user118@demo.example,Dallas,SG,Yes,PN,Registration
endpoint-119,Place,user119@demo.example,Denver,US,Yes,SIP,Registration
endpoint-120,User,user120@demo.example,London,GB,Yes,PN,Registration
endpoint-121,Virtual Line,user121@demo.example,Chicago,US,Yes,SIP,Registration
endpoint-122,User,user122@demo.example,Dallas,US,Yes,PN,Registration
endpoint-123,Virtual Line,user123@demo.example,Singapore,US,Yes,SIP,Registration
endpoint-124,User,user124@demo.example,Singapore,US,Yes,SIP,Registration
endpoint-125,User,user125@demo.example,Chicago,US,Yes,SIP,Registration
