User Name,Start Time,Location,Call Quality,Duration(s),Audio Packet Loss (%),Audio Latency (ms),Call Type
Priya Nair,2026-08-31 17:11:33,Singapore,Good,1202,0.13,76,SIP_ENTERPRISE
Jordan Lee,2026-09-05 10:17:14,London,Good,1982,0.22,27,SIP_NATIONAL
Riley Park,2026-08-26 09:56:16,Denver,Good,1828,0.02,39,SIP_NATIONAL
Riley Park,2026-08-19 01:49:53,Chicago,Good,329,0.17,20,SIP_INBOUND
Jordan Lee,2026-08-08 18:27:44,Denver,Good,1510,0.44,64,SIP_NATIONAL
Riley Park,2026-09-01 23:10:40,Chicago,Good,586,0.07,59,SIP_INBOUND
Marcus Webb,2026-08-07 20:22:14,Singapore,Good,1187,0.04,42,SIP_NATIONAL
Taylor Brooks,2026-09-03 04:19:59,Denver,Good,1953,0.78,72,SIP_INBOUND
Casey Rivera,2026-09-05 05:23:10,Singapore,Fair,1827,0.16,72,SIP_ENTERPRISE
Riley Park,2026-09-02 09:01:40,Chicago,Good,1328,0.56,26,SIP_ENTERPRISE
Riley Park,2026-08-27 12:05:35,Singapore,Fair,155,0.4,55,SIP_ENTERPRISE
Priya Nair,2026-08-09 04:10:01,Denver,Good,1115,0.47,46,SIP_ENTERPRISE
Priya Nair,2026-08-22 05:28:21,Singapore,Good,2083,0.23,30,SIP_ENTERPRISE
Casey Rivera,2026-08-08 13:23:15,Denver,Fair,547,0.07,70,SIP_ENTERPRISE
Priya Nair,2026-08-14 07:00:48,Singapore,Fair,431,0.52,73,SIP_ENTERPRISE
Priya Nair,2026-09-01 04:59:30,Dallas,Fair,1208,0.41,71,SIP_NATIONAL
Casey Rivera,2026-08-30 15:57:53,Singapore,Good,1233,0.36,29,SIP_INBOUND
Riley Park,2026-08-21 00:32:56,Singapore,Fair,2075,0.68,50,SIP_ENTERPRISE
Casey Rivera,2026-08-23 09:59:30,Chicago,Fair,1587,0.31,34,SIP_ENTERPRISE
Alex Morgan,2026-08-16 09:01:16,Dallas,Good,1740,0.77,59,SIP_MOBILE
Priya Nair,2026-08-15 16:07:59,London,Good,1757,0.64,29,SIP_INTERNATIONAL
Sam Chen,2026-08-10 18:59:15,Dallas,Fair,1693,0.69,75,SIP_MOBILE
Casey Rivera,2026-08-09 12:40:48,Singapore,Good,1998,0.08,41,SIP_ENTERPRISE
Riley Park,2026-08-09 23:24:53,London,Good,2219,0.05,60,SIP_ENTERPRISE
Taylor Brooks,2026-08-21 12:14:32,Singapore,Good,2319,0.14,74,SIP_ENTERPRISE
Jordan Lee,2026-08-10 20:03:38,London,Good,32,0.78,73,SIP_ENTERPRISE
Morgan Quinn,2026-08-14 07:47:29,Singapore,Good,2372,0.75,88,SIP_NATIONAL
Riley Park,2026-08-12 08:39:33,Singapore,Good,479,0.69,48,SIP_ENTERPRISE
Marcus Webb,2026-08-08 21:20:00,Singapore,Fair,9,0.1,45,SIP_INBOUND
Morgan Quinn,2026-08-20 16:20:27,Singapore,Good,303,0.3,67,SIP_INTERNATIONAL
Marcus Webb,2026-08-16 01:44:13,Dallas,Good,870,0.7,89,SIP_NATIONAL
Taylor Brooks,2026-08-16 05:25:11,London,Fair,2260,0.05,75,SIP_ENTERPRISE
Sam Chen,2026-08-11 21:48:50,Chicago,Fair,1136,0.01,79,SIP_INBOUND
Sam Chen,2026-08-31 02:31:13,London,Good,2181,0.46,79,SIP_NATIONAL
Priya Nair,2026-08-08 15:45:58,London,Good,936,0.54,44,SIP_ENTERPRISE
Priya Nair,2026-08-22 23:34:03,Dallas,Fair,827,0.72,52,SIP_ENTERPRISE
Taylor Brooks,2026-09-05 04:57:10,London,Fair,1738,0.09,87,SIP_ENTERPRISE
Riley Park,2026-08-28 09:54:29,Denver,Good,1939,0.16,43,SIP_ENTERPRISE
Marcus Webb,2026-08-29 05:19:25,Dallas,Fair,2134,0.39,69,SIP_NATIONAL
Priya Nair,2026-08-10 05:30:09,Chicago,Good,1665,0.36,58,SIP_ENTERPRISE
Alex Morgan,2026-08-07 08:34:13,Dallas,Good,0,0.51,42,SIP_INTERNATIONAL
Jordan Lee,2026-08-15 22:11:01,Denver,Fair,2355,0.62,24,SIP_ENTERPRISE
Jamie Ortiz,2026-08-24 18:24:23,Denver,Good,2138,0.78,34,SIP_ENTERPRISE
Casey Rivera,2026-08-12 14:17:57,Singapore,Good,1516,0.76,67,SIP_ENTERPRISE
Jamie Ortiz,2026-08-12 06:04:00,Chicago,Fair,1640,0.14,29,SIP_SHORTCODE
Alex Morgan,2026-09-04 10:30:40,Singapore,Good,629,0.24,69,SIP_ENTERPRISE
Alex Morgan,2026-08-10 09:45:07,Denver,Fair,1166,0.17,82,SIP_INBOUND
Taylor Brooks,2026-09-01 20:58:08,London,Good,1229,0.07,83,SIP_ENTERPRISE
Morgan Quinn,2026-08-28 22:15:28,Dallas,Good,578,0.13,44,SIP_ENTERPRISE
Riley Park,2026-08-12 21:41:37,Dallas,Good,327,0.43,74,SIP_INBOUND
Casey Rivera,2026-09-05 15:54:26,Chicago,Good,787,0.28,68,SIP_ENTERPRISE
Riley Park,2026-08-15 08:51:04,Singapore,Good,1690,0.45,82,SIP_INTERNATIONAL
Morgan Quinn,2026-08-24 08:50:04,Singapore,Fair,120,0.53,63,SIP_NATIONAL
Alex Morgan,2026-08-10 10:16:57,Singapore,Fair,677,0.59,71,SIP_ENTERPRISE
Sam Chen,2026-08-06 18:09:49,London,Good,762,0.72,85,SIP_ENTERPRISE
Priya Nair,2026-08-12 17:47:33,Chicago,Good,1901,0.09,87,SIP_ENTERPRISE
Taylor Brooks,2026-08-11 08:51:40,Denver,Fair,1256,0.58,89,SIP_NATIONAL
Marcus Webb,2026-09-03 03:54:28,Singapore,Good,2350,0.51,64,SIP_ENTERPRISE
Riley Park,2026-08-15 19:22:19,Chicago,Good,1018,0.17,88,SIP_NATIONAL
Taylor Brooks,2026-09-05 06:57:52,Denver,Fair,194,0.62,62,SIP_INBOUND
Jordan Lee,2026-08-18 17:59:27,Denver,Good,318,0.76,88,SIP_NATIONAL
Riley Park,2026-08-21 16:02:17,Chicago,Good,2330,0.3,45,SIP_INBOUND
Jordan Lee,2026-08-23 15:03:37,Dallas,Good,869,0.4,80,SIP_ENTERPRISE
Casey Rivera,2026-08-23 19:50:07,London,Fair,11,0.8,48,SIP_INBOUND
Morgan Quinn,2026-08-30 06:29:57,Singapore,Fair,793,0.34,88,SIP_ENTERPRISE
Sam Chen,2026-08-22 00:10:34,Singapore,Good,1313,0.37,46,SIP_INTERNATIONAL
Jordan Lee,2026-09-05 01:28:07,Denver,Good,1107,0.43,46,SIP_ENTERPRISE
Jamie Ortiz,2026-09-05 21:43:38,Chicago,Fair,1930,0.54,64,SIP_ENTERPRISE
Jordan Lee,2026-08-24 03:39:52,London,Good,224,0.8,76,SIP_ENTERPRISE
Taylor Brooks,2026-08-16 01:43:20,London,Fair,1663,0.01,85,SIP_ENTERPRISE
Marcus Webb,2026-08-19 15:31:33,Dallas,Fair,1235,0.6,84,SIP_ENTERPRISE
Jamie Ortiz,2026-08-08 07:01:48,Singapore,Good,1646,0.4,76,SIP_SHORTCODE
Alex Morgan,2026-08-20 06:46:33,London,Good,481,0.17,74,SIP_INBOUND
Jordan Lee,2026-08-27 20:19:23,Singapore,Good,421,0.16,52,SIP_ENTERPRISE
Jordan Lee,2026-09-01 09:56:58,Chicago,Good,1203,0.33,77,SIP_INBOUND
Riley Park,2026-08-11 00:51:46,Singapore,Fair,1363,0.32,85,SIP_ENTERPRISE
Riley Park,2026-08-14 21:08:48,London,Fair,1652,0.23,81,SIP_INBOUND
Morgan Quinn,2026-08-23 05:14:01,London,Good,636,0.54,20,SIP_NATIONAL
Riley Park,2026-08-06 23:03:32,Dallas,Good,0,0.01,30,SIP_INTERNATIONAL
Morgan Quinn,2026-08-10 03:15:24,Dallas,Fair,1908,0.66,61,SIP_ENTERPRISE
Casey Rivera,2026-08-29 14:05:56,Singapore,Fair,1737,0.79,36,SIP_ENTERPRISE
Riley Park,2026-08-14 21:24:48,Chicago,Good,2019,0.49,47,SIP_MOBILE
Sam Chen,2026-08-22 07:18:27,London,Fair,637,0.34,85,SIP_ENTERPRISE
Jordan Lee,2026-08-22 05:48:52,Chicago,Fair,31,0.14,83,SIP_NATIONAL
Casey Rivera,2026-08-18 04:21:29,Singapore,Good,1382,0.18,69,SIP_INBOUND
Taylor Brooks,2026-08-24 21:53:49,Denver,Good,2290,0.51,74,SIP_ENTERPRISE
Marcus Webb,2026-08-22 06:08:33,Singapore,Fair,1038,0.73,78,SIP_ENTERPRISE
Morgan Quinn,2026-08-12 12:16:45,Dallas,Good,1695,0.16,26,SIP_NATIONAL
Casey Rivera,2026-09-04 08:08:32,Dallas,Fair,1677,0.62,30,SIP_MOBILE
Riley Park,2026-08-18 09:47:10,London,Fair,1732,0.74,25,SIP_ENTERPRISE
Jamie Ortiz,2026-08-25 09:44:24,London,Fair,103,0.59,88,SIP_ENTERPRISE
Sam Chen,2026-08-16 14:18:19,Chicago,Good,2245,0.15,65,SIP_MOBILE
Jordan Lee,2026-08-11 06:59:34,Chicago,Good,2041,0.43,37,SIP_INBOUND
Marcus Webb,2026-08-09 11:42:50,Singapore,Good,2391,0.62,66,SIP_ENTERPRISE
Alex Morgan,2026-08-17 16:36:50,Dallas,Good,343,0.5,64,SIP_ENTERPRISE
Jamie Ortiz,2026-08-26 00:07:41,Dallas,Good,1046,0.09,84,SIP_ENTERPRISE
Sam Chen,2026-08-24 19:19:51,Singapore,Good,809,0.23,82,SIP_NATIONAL
Jamie Ortiz,2026-08-22 22:29:20,Chicago,Good,73,0.68,83,SIP_ENTERPRISE
Jamie Ortiz,2026-08-20 06:24:48,London,Good,1108,0.39,21,SIP_INBOUND
Taylor Brooks,2026-08-07 03:19:48,Dallas,Fair,2266,0.06,68,SIP_ENTERPRISE
Alex Morgan,2026-08-19 00:34:36,Denver,Good,779,0.51,51,SIP_NATIONAL
Taylor Brooks,2026-08-25 10:26:17,London,Good,430,0.01,32,SIP_ENTERPRISE
Sam Chen,2026-08-16 19:04:05,London,Fair,2147,0.68,28,SIP_INBOUND
Jordan Lee,2026-08-22 23:05:03,London,Good,1050,0.39,62,SIP_INBOUND
Riley Park,2026-08-25 01:10:22,London,Good,1960,0.42,37,SIP_INBOUND
Priya Nair,2026-08-08 10:55:55,Singapore,Fair,1118,0.02,21,SIP_INBOUND
Casey Rivera,2026-08-08 02:54:18,Dallas,Good,375,0.17,45,SIP_INBOUND
Marcus Webb,2026-08-21 14:53:54,Denver,Good,2370,0.26,35,SIP_ENTERPRISE
Riley Park,2026-08-09 20:52:14,Denver,Good,271,0.21,53,SIP_INTERNATIONAL
Priya Nair,2026-08-13 19:29:13,Singapore,Good,1631,0.57,65,SIP_ENTERPRISE
Priya Nair,2026-08-25 18:19:42,Dallas,Good,1873,0.35,86,SIP_MOBILE
Sam Chen,2026-08-31 08:30:52,Singapore,Good,2360,0.14,68,SIP_INBOUND
Sam Chen,2026-08-24 22:14:24,London,Good,365,0.77,27,SIP_ENTERPRISE
Sam Chen,2026-08-30 08:18:22,Denver,Fair,2332,0.25,75,SIP_MOBILE
Casey Rivera,2026-08-24 04:49:10,Singapore,Good,169,0.35,51,SIP_ENTERPRISE
Morgan Quinn,2026-08-23 18:11:32,London,Good,2368,0.65,63,SIP_ENTERPRISE
Priya Nair,2026-08-09 00:05:02,Dallas,Good,1361,0.16,44,SIP_ENTERPRISE
Riley Park,2026-08-12 16:28:37,London,Good,1187,0.36,82,SIP_MOBILE
Riley Park,2026-08-09 00:04:18,Singapore,Good,1712,0.47,40,SIP_NATIONAL
Sam Chen,2026-08-17 17:44:12,Denver,Fair,2321,0.76,57,SIP_ENTERPRISE
Sam Chen,2026-08-15 21:48:51,Singapore,Good,914,0.14,42,SIP_ENTERPRISE
Jordan Lee,2026-08-28 02:41:44,Denver,Good,588,0.2,35,SIP_ENTERPRISE
Casey Rivera,2026-08-11 11:02:45,Singapore,Good,2209,0.62,28,SIP_ENTERPRISE
Sam Chen,2026-08-11 16:42:08,Chicago,Good,1646,0.57,34,SIP_ENTERPRISE
Alex Morgan,2026-08-24 03:21:30,Dallas,Good,2192,0.72,59,SIP_ENTERPRISE
Sam Chen,2026-08-26 12:12:51,London,Fair,190,0.17,35,SIP_ENTERPRISE
Marcus Webb,2026-08-27 06:35:46,Denver,Fair,312,0.49,81,SIP_INTERNATIONAL
Riley Park,2026-08-15 04:46:24,Dallas,Good,9,0.46,65,SIP_ENTERPRISE
Jamie Ortiz,2026-08-15 13:24:53,Denver,Good,378,0.25,42,SIP_ENTERPRISE
Sam Chen,2026-09-04 13:31:26,Dallas,Good,519,0.4,89,SIP_ENTERPRISE
Jamie Ortiz,2026-08-06 18:10:20,Singapore,Good,303,0.36,62,SIP_ENTERPRISE
Jamie Ortiz,2026-08-26 07:06:03,Dallas,Good,2098,0.46,39,SIP_ENTERPRISE
Marcus Webb,2026-08-26 09:13:36,Denver,Fair,221,0.79,83,SIP_ENTERPRISE
Riley Park,2026-08-23 19:43:50,Singapore,Good,441,0.03,57,SIP_ENTERPRISE
Jamie Ortiz,2026-08-14 21:12:22,Chicago,Good,1121,0.52,24,SIP_ENTERPRISE
Casey Rivera,2026-08-23 20:02:08,Singapore,Good,2023,0.58,39,SIP_ENTERPRISE
Jordan Lee,2026-08-29 09:18:01,Denver,Good,1819,0.06,74,SIP_ENTERPRISE
Priya Nair,2026-08-26 03:28:42,London,Good,1302,0.31,68,SIP_MOBILE
Jordan Lee,2026-08-30 15:05:31,Singapore,Fair,1380,0.77,28,SIP_NATIONAL
Jordan Lee,2026-09-01 20:57:29,Dallas,Fair,1168,0.08,35,SIP_ENTERPRISE
Casey Rivera,2026-08-25 19:22:13,London,Good,1242,0.08,42,SIP_ENTERPRISE
Marcus Webb,2026-09-04 09:53:54,Chicago,Good,1308,0.18,26,SIP_INTERNATIONAL
Taylor Brooks,2026-09-02 21:17:44,Denver,Good,919,0.65,57,SIP_INBOUND
Marcus Webb,2026-08-24 17:06:18,Dallas,Poor,2372,3.13,133,SIP_NATIONAL
Taylor Brooks,2026-08-29 13:26:35,London,Good,424,0.09,86,SIP_ENTERPRISE
Morgan Quinn,2026-08-11 18:02:15,Singapore,Good,983,0.55,75,SIP_ENTERPRISE
Taylor Brooks,2026-08-26 01:33:39,Chicago,Fair,528,0.14,29,SIP_ENTERPRISE
Priya Nair,2026-08-29 01:16:20,Chicago,Good,2133,0.26,30,SIP_ENTERPRISE
Morgan Quinn,2026-08-15 15:55:00,London,Good,2124,0.51,66,SIP_SHORTCODE
Casey Rivera,2026-08-16 21:44:49,Denver,Good,949,0.46,66,SIP_ENTERPRISE
Jamie Ortiz,2026-08-23 08:45:08,Denver,Good,1858,0.62,53,SIP_INBOUND
Jordan Lee,2026-08-22 16:22:11,Singapore,Good,131,0.57,44,SIP_NATIONAL
Casey Rivera,2026-08-13 14:05:39,London,Good,278,0.53,71,SIP_ENTERPRISE
Sam Chen,2026-08-31 07:39:54,Chicago,Good,1885,0.06,54,SIP_ENTERPRISE
Riley Park,2026-08-11 09:38:21,Singapore,Fair,470,0.17,77,SIP_ENTERPRISE
Alex Morgan,2026-08-12 19:08:38,Singapore,Good,2394,0.27,76,SIP_INTERNATIONAL
Alex Morgan,2026-08-31 12:47:25,Chicago,Fair,1249,0.69,73,SIP_ENTERPRISE
Jamie Ortiz,2026-08-08 02:16:04,Singapore,Good,1273,0.52,79,SIP_ENTERPRISE
Jordan Lee,2026-08-13 17:49:31,Denver,Good,1230,0.18,45,SIP_ENTERPRISE
Jamie Ortiz,2026-08-06 06:38:37,Singapore,Fair,639,0.41,74,SIP_ENTERPRISE
Marcus Webb,2026-08-18 20:47:57,London,Good,1880,0.34,68,SIP_ENTERPRISE
Taylor Brooks,2026-08-31 10:28:44,Chicago,Fair,796,0.52,30,SIP_MOBILE
Casey Rivera,2026-08-29 02:24:29,Dallas,Fair,1448,0.09,21,SIP_NATIONAL
Jordan Lee,2026-08-31 01:10:06,Chicago,Good,2219,0.02,66,SIP_MOBILE
Marcus Webb,2026-08-30 07:51:41,Dallas,Good,1082,0.09,58,SIP_ENTERPRISE
Jordan Lee,2026-08-08 10:12:23,Dallas,Good,1940,0.12,55,SIP_MOBILE
Sam Chen,2026-08-27 13:06:27,Chicago,Good,820,0.35,45,SIP_INTERNATIONAL
Morgan Quinn,2026-08-08 04:35:59,Singapore,Good,138,0.59,49,SIP_MOBILE
Marcus Webb,2026-08-27 05:10:10,Chicago,Good,731,0.14,39,SIP_NATIONAL
Casey Rivera,2026-08-19 15:11:00,Denver,Fair,235,0.35,67,SIP_ENTERPRISE
Alex Morgan,2026-08-28 14:35:19,Denver,Good,863,0.18,23,SIP_ENTERPRISE
Jordan Lee,2026-08-24 09:46:00,London,Good,266,0.19,57,SIP_ENTERPRISE
Casey Rivera,2026-09-01 06:55:24,Singapore,Fair,1271,0.56,48,SIP_INBOUND
Casey Rivera,2026-08-11 22:30:23,Singapore,Good,2153,0.59,81,SIP_NATIONAL
Sam Chen,2026-08-30 18:13:13,Dallas,Good,1316,0.14,34,SIP_NATIONAL
Casey Rivera,2026-08-21 08:53:13,Singapore,Fair,171,0.48,71,SIP_ENTERPRISE
Morgan Quinn,2026-08-13 20:13:09,Chicago,Fair,2195,0.73,63,SIP_ENTERPRISE
Taylor Brooks,2026-08-19 11:55:14,Denver,Fair,332,0.19,42,SIP_ENTERPRISE
Jordan Lee,2026-09-04 01:25:59,Chicago,Good,1722,0.27,51,SIP_INBOUND
Marcus Webb,2026-08-30 08:50:39,Chicago,Fair,663,0.38,43,SIP_NATIONAL
Alex Morgan,2026-08-25 18:36:03,London,Good,1183,0.71,31,SIP_ENTERPRISE
Marcus Webb,2026-09-02 16:28:46,Denver,Good,1431,0.48,87,SIP_INBOUND
Casey Rivera,2026-08-08 06:25:10,Chicago,Good,813,0.7,53,SIP_INBOUND
Casey Rivera,2026-09-04 23:49:46,London,Good,442,0.45,89,SIP_INBOUND
Taylor Brooks,2026-08-18 19:50:09,Singapore,Fair,243,0.4,72,SIP_ENTERPRISE
Morgan Quinn,2026-08-14 08:19:08,London,Good,1016,0.24,71,SIP_ENTERPRISE
Alex Morgan,2026-09-01 22:53:18,Dallas,Fair,783,0.28,58,SIP_ENTERPRISE
Alex Morgan,2026-08-12 18:43:38,Singapore,Good,1984,0.29,20,SIP_ENTERPRISE
Jamie Ortiz,2026-08-29 11:39:56,Singapore,Fair,497,0.27,56,SIP_INTERNATIONAL
Sam Chen,2026-09-04 05:42:45,Dallas,Fair,463,0.39,38,SIP_INBOUND
Sam Chen,2026-08-09 03:10:04,Dallas,Fair,1794,0.02,88,SIP_ENTERPRISE
Riley Park,2026-08-30 22:25:38,Chicago,Fair,1910,0.8,45,UNKNOWN
Alex Morgan,2026-08-30 17:47:06,Denver,Fair,2196,0.59,88,SIP_ENTERPRISE
Priya Nair,2026-08-31 05:38:07,Dallas,Fair,2303,0.07,84,SIP_ENTERPRISE
Priya Nair,2026-08-29 11:48:27,Dallas,Good,1633,0.77,81,SIP_ENTERPRISE
Jamie Ortiz,2026-08-26 00:57:13,Chicago,Good,44,0.79,81,SIP_ENTERPRISE
Morgan Quinn,2026-09-03 16:58:30,Denver,Fair,1859,0.28,43,SIP_ENTERPRISE
Sam Chen,2026-08-31 15:38:07,Chicago,Good,516,0.25,22,SIP_ENTERPRISE
Jamie Ortiz,2026-08-09 00:42:04,Dallas,Good,348,0.67,28,SIP_ENTERPRISE
Marcus Webb,2026-08-29 16:44:45,Dallas,Fair,2145,0.77,75,SIP_INBOUND
Alex Morgan,2026-08-13 09:25:53,Dallas,Good,1276,0.4,67,SIP_ENTERPRISE
Morgan Quinn,2026-08-27 12:00:32,Dallas,Good,723,0.42,40,SIP_MOBILE
Jamie Ortiz,2026-09-04 23:59:16,Chicago,Good,1477,0.24,40,SIP_ENTERPRISE
Jordan Lee,2026-08-27 06:48:18,Chicago,Good,578,0.36,35,SIP_MOBILE
Jamie Ortiz,2026-08-21 19:55:29,Singapore,Good,1042,0.04,41,SIP_ENTERPRISE
Riley Park,2026-08-14 16:39:44,Singapore,Fair,684,0.67,23,SIP_ENTERPRISE
Sam Chen,2026-08-26 17:43:10,Singapore,Good,2365,0.63,55,SIP_ENTERPRISE
Priya Nair,2026-08-15 01:43:12,Chicago,Fair,560,0.12,26,SIP_INBOUND
Priya Nair,2026-08-11 00:30:12,Denver,Fair,1031,0.16,60,SIP_INTERNATIONAL
Riley Park,2026-08-28 15:29:16,Singapore,Good,1323,0.03,85,SIP_ENTERPRISE
Priya Nair,2026-08-17 13:59:27,London,Fair,1621,0.51,49,SIP_ENTERPRISE
Taylor Brooks,2026-08-26 04:16:55,London,Good,1854,0.71,84,SIP_NATIONAL
Casey Rivera,2026-08-22 03:48:38,Chicago,Good,2285,0.45,67,SIP_ENTERPRISE
Casey Rivera,2026-08-30 12:40:02,London,Fair,513,0.11,73,SIP_ENTERPRISE
Taylor Brooks,2026-08-18 16:27:10,Dallas,Good,499,0.44,41,SIP_ENTERPRISE
Alex Morgan,2026-08-30 21:17:44,Denver,Fair,793,0.74,52,SIP_ENTERPRISE
Morgan Quinn,2026-08-30 11:12:54,Denver,Good,198,0.08,56,SIP_ENTERPRISE
Alex Morgan,2026-09-05 12:45:01,Singapore,Fair,2071,0.75,69,SIP_ENTERPRISE
Jordan Lee,2026-09-01 18:33:40,Dallas,Good,1783,0.37,87,SIP_ENTERPRISE
Marcus Webb,2026-08-14 17:59:58,Dallas,Fair,2085,0.02,73,SIP_ENTERPRISE
Morgan Quinn,2026-09-05 20:05:48,Dallas,Good,2194,0.49,41,SIP_NATIONAL
Alex Morgan,2026-09-04 13:24:13,Singapore,Fair,1332,0.3,63,SIP_MOBILE
Priya Nair,2026-09-01 10:15:49,Chicago,Good,8,0.04,79,SIP_ENTERPRISE
Taylor Brooks,2026-08-08 02:46:06,London,Fair,579,0.0,76,SIP_ENTERPRISE
Priya Nair,2026-08-07 19:35:30,Denver,Good,2397,0.67,25,SIP_SHORTCODE
Casey Rivera,2026-08-22 07:12:39,Chicago,Fair,1505,0.09,61,SIP_INBOUND
Casey Rivera,2026-08-21 10:32:25,Denver,Fair,1983,0.39,43,SIP_INBOUND
Marcus Webb,2026-08-08 16:04:22,Singapore,Fair,1831,0.47,55,SIP_ENTERPRISE
Jordan Lee,2026-08-21 22:39:10,London,Fair,33,0.16,30,SIP_ENTERPRISE
Morgan Quinn,2026-08-13 09:49:48,London,Good,845,0.11,82,SIP_NATIONAL
Casey Rivera,2026-08-19 18:34:11,London,Good,632,0.24,41,SIP_ENTERPRISE
Jordan Lee,2026-08-11 22:46:32,Singapore,Good,1487,0.64,63,UNKNOWN
Jamie Ortiz,2026-08-08 04:46:02,London,Good,1698,0.0,62,SIP_ENTERPRISE
Priya Nair,2026-08-29 05:05:54,Dallas,Good,1956,0.2,27,SIP_ENTERPRISE
Casey Rivera,2026-08-29 06:08:15,Denver,Fair,604,0.36,23,SIP_ENTERPRISE
Jamie Ortiz,2026-08-21 21:56:11,Dallas,Good,253,0.39,32,SIP_INBOUND
Sam Chen,2026-09-04 17:18:23,Dallas,Fair,185,0.21,62,SIP_ENTERPRISE
Jordan Lee,2026-08-30 11:15:07,London,Fair,1934,0.49,50,SIP_ENTERPRISE
Marcus Webb,2026-08-10 00:52:05,Dallas,Good,1164,0.11,72,SIP_MOBILE
Casey Rivera,2026-08-22 09:53:12,Chicago,Fair,2062,0.59,58,SIP_ENTERPRISE
Alex Morgan,2026-08-27 12:20:12,Denver,Good,234,0.23,27,SIP_MOBILE
Sam Chen,2026-08-14 15:20:42,London,Good,2305,0.53,47,SIP_INTERNATIONAL
Casey Rivera,2026-08-12 00:30:20,Denver,Good,2092,0.37,76,SIP_ENTERPRISE
Jordan Lee,2026-08-13 05:22:52,London,Good,240,0.37,59,SIP_INBOUND
Morgan Quinn,2026-08-28 19:31:27,Chicago,Poor,901,1.43,287,SIP_ENTERPRISE
Jamie Ortiz,2026-08-20 13:04:59,London,Fair,1232,0.36,83,SIP_ENTERPRISE
Riley Park,2026-08-08 16:36:39,Denver,Good,1623,0.37,70,SIP_ENTERPRISE
Alex Morgan,2026-08-16 09:27:21,Denver,Good,1940,0.29,79,SIP_ENTERPRISE
Alex Morgan,2026-08-13 07:44:10,Denver,Good,125,0.72,56,SIP_INTERNATIONAL
Casey Rivera,2026-08-24 22:12:04,Denver,Good,1112,0.52,44,SIP_INBOUND
Marcus Webb,2026-08-09 08:10:39,Chicago,Good,1850,0.37,80,SIP_ENTERPRISE
Riley Park,2026-08-13 12:16:56,Denver,Fair,2364,0.24,47,SIP_ENTERPRISE
Jordan Lee,2026-08-12 06:06:30,Singapore,Fair,881,0.39,87,SIP_INBOUND
Morgan Quinn,2026-09-03 15:36:52,Dallas,Good,356,0.46,84,SIP_ENTERPRISE
Taylor Brooks,2026-08-27 17:13:53,London,Fair,1421,0.21,68,SIP_ENTERPRISE
Jamie Ortiz,2026-08-31 22:53:21,Dallas,Fair,1165,0.28,63,SIP_ENTERPRISE
