Start time,Duration,User,Location,Call type,Direction,Calling number,Called number,Calling display,Called display,Correlation ID,Related reason,User type,Answered,Answer indicator,Call outcome,Call outcome reason,Call Recording Result,Call Recording Trigger,_day
2026-08-08 19:29:29,984,Jordan Lee,Denver,SIP_ENTERPRISE,TERMINATING,+13125551000,+13125551007,Alex Morgan,Jamie Ortiz,rnd-28-7,CallForwardBusy,CallCenterPremium,True,No,Success,Success,,always-pause-resume,2026-08-08
2026-08-29 07:34:14,520,Marcus Webb,Denver,SIP_ENTERPRISE,ORIGINATING,+13125551003,+13125551001,Taylor Brooks,Jordan Lee,rnd-29-7,SimultaneousRingPersonal,CallCenterPremium,True,Yes-PostRedirection,Success,Success,,always-pause-resume,2026-08-29
2026-08-19 09:17:11,137,Alex Morgan,Dallas,SIP_ENTERPRISE,ORIGINATING,+13125551009,+13125551007,Marcus Webb,Jamie Ortiz,rnd-30-7,SimultaneousRingPersonal,AutomatedAttendantVideo,True,No,Success,Success,,always-pause-resume,2026-08-19
2026-08-13 16:51:29,2144,Sam Chen,Dallas,SIP_ENTERPRISE,ORIGINATING,+13125551007,+13125551001,Jamie Ortiz,Jordan Lee,rnd-31-7,Deflection,User,True,Yes,Success,Success,,,2026-08-13
2026-09-03 12:25:14,1036,Casey Rivera,Dallas,SIP_INBOUND,ORIGINATING,+155509948,+13125551004,+155509948,Casey Rivera,rnd-32-7,SimultaneousRingPersonal,User,True,Yes,Success,Success,,,2026-09-03
2026-08-06 00:51:25,1300,Jamie Ortiz,Denver,SIP_ENTERPRISE,ORIGINATING,+13125551003,+13125551009,Taylor Brooks,Marcus Webb,rnd-33-7,SimultaneousRingPersonal,HuntGroup,True,Yes-PostRedirection,Success,Success,,always-pause-resume,2026-08-06
2026-08-07 17:08:58,1058,Riley Park,Chicago,SIP_ENTERPRISE,TERMINATING,+13125551007,+13125551000,Jamie Ortiz,Alex Morgan,rnd-34-7,SimultaneousRingPersonal,User,True,Yes-PostRedirection,Success,Success,,always-pause-resume,2026-08-07
2026-08-12 03:22:16,845,Priya Nair,Chicago,SIP_NATIONAL,ORIGINATING,+13125551008,+155509969,Priya Nair,+155509969,rnd-35-7,CallForwardNoAnswer,User,True,Yes,Success,Success,,,2026-08-12
2026-08-21 08:50:56,1713,Taylor Brooks,London,SIP_ENTERPRISE,ORIGINATING,+13125551006,+13125551000,Riley Park,Alex Morgan,rnd-36-7,ConsultativeTransfer,CallCenterPremium,True,Yes,Success,Success,,,2026-08-21
2026-08-07 20:44:26,330,Morgan Quinn,Chicago,SIP_ENTERPRISE,TERMINATING,+13125551008,+13125551007,Priya Nair,Jamie Ortiz,rnd-37-7,SimultaneousRingPersonal,User,True,No,Success,Success,,always-pause-resume,2026-08-07
2026-08-11 05:55:48,1444,Casey Rivera,Chicago,SIP_ENTERPRISE,TERMINATING,+13125551003,+13125551007,Taylor Brooks,Jamie Ortiz,rnd-38-7,SimultaneousRingPersonal,User,True,Yes,Success,Success,,,2026-08-11
2026-08-20 16:15:26,1329,Jamie Ortiz,Dallas,SIP_ENTERPRISE,TERMINATING,+13125551006,+13125551003,Riley Park,Taylor Brooks,rnd-39-7,Deflection,CallCenterPremium,True,Yes,Success,Success,success,always-pause-resume,2026-08-20
2026-08-07 22:33:34,262,Casey Rivera,Dallas,SIP_MOBILE,TERMINATING,+13125551004,+155509943,Casey Rivera,+155509943,rnd-40-7,CallForwardNoAnswer,User,True,Yes,Success,Success,,,2026-08-07
2026-08-29 10:12:19,962,Jordan Lee,Chicago,SIP_MOBILE,TERMINATING,+13125551001,+155509965,Jordan Lee,+155509965,rnd-41-7,ConsultativeTransfer,CallCenterPremium,False,Yes,Refusal,UnassignedNumber,,always,2026-08-29
2026-08-30 21:06:38,972,Sam Chen,Singapore,SIP_NATIONAL,ORIGINATING,+13125551002,+155509975,Sam Chen,+155509975,rnd-42-7,SimultaneousRingPersonal,User,True,Yes,Success,Success,,always-pause-resume,2026-08-30
2026-08-08 00:09:40,1339,Priya Nair,Singapore,SIP_ENTERPRISE,ORIGINATING,+13125551001,+13125551005,Jordan Lee,Morgan Quinn,rnd-43-7,CallForwardBusy,User,True,No,Success,Success,success,always-pause-resume,2026-08-08
2026-09-05 15:23:36,967,Sam Chen,London,SIP_INTERNATIONAL,TERMINATING,+13125551002,+155509947,Sam Chen,+155509947,rnd-44-7,CallForwardNoAnswer,User,True,No,Success,Success,,,2026-09-05
2026-08-14 01:41:21,969,Sam Chen,Dallas,SIP_ENTERPRISE,TERMINATING,+13125551005,+13125551001,Morgan Quinn,Jordan Lee,rnd-45-7,CallForwardBusy,AutomatedAttendantVideo,True,Yes-PostRedirection,Success,Success,,always,2026-08-14
2026-08-26 03:19:57,424,Jamie Ortiz,Chicago,SIP_ENTERPRISE,TERMINATING,+13125551007,+13125551005,Jamie Ortiz,Morgan Quinn,rnd-46-7,CallForwardBusy,User,False,Yes,Refusal,CallRejected,,always,2026-08-26
2026-08-24 14:46:01,1529,Taylor Brooks,Chicago,SIP_NATIONAL,TERMINATING,+13125551003,+155509991,Taylor Brooks,+155509991,rnd-47-7,CallForwardBusy,User,True,No,Success,Success,,always-pause-resume,2026-08-24
2026-08-10 09:10:44,838,Casey Rivera,Chicago,SIP_ENTERPRISE,TERMINATING,+13125551005,+13125551002,Morgan Quinn,Sam Chen,rnd-48-7,CallQueue,User,True,Yes,Success,Success,,always-pause-resume,2026-08-10
2026-08-22 23:44:43,2258,Jordan Lee,London,SIP_ENTERPRISE,TERMINATING,+13125551006,+13125551004,Riley Park,Casey Rivera,rnd-49-7,CallForwardNoAnswer,CallCenterPremium,True,Yes,Success,Success,,always-pause-resume,2026-08-22
2026-08-29 02:31:52,79,Riley Park,London,SIP_MOBILE,ORIGINATING,+13125551006,+155509961,Riley Park,+155509961,rnd-50-7,Deflection,CallCenterPremium,True,Yes,Success,Success,,always-pause-resume,2026-08-29
2026-08-09 12:28:23,1892,Marcus Webb,Denver,SIP_ENTERPRISE,TERMINATING,+13125551002,+13125551007,Sam Chen,Jamie Ortiz,rnd-51-7,ConsultativeTransfer,User,True,No,Success,Success,success,always-pause-resume,2026-08-09
2026-08-11 00:23:24,1576,Jordan Lee,Chicago,SIP_ENTERPRISE,ORIGINATING,+13125551003,+13125551005,Taylor Brooks,Morgan Quinn,rnd-52-7,,User,True,Yes,Success,Success,,,2026-08-11
2026-09-03 17:04:07,914,Marcus Webb,Dallas,SIP_ENTERPRISE,ORIGINATING,+13125551007,+13125551002,Jamie Ortiz,Sam Chen,rnd-53-7,Deflection,CallCenterPremium,True,Yes-PostRedirection,Success,Success,,always,2026-09-03
2026-08-17 21:22:50,173,Taylor Brooks,Dallas,SIP_ENTERPRISE,TERMINATING,+13125551005,+13125551001,Morgan Quinn,Jordan Lee,rnd-54-7,CallForwardNoAnswer,HuntGroup,True,No,Success,Success,,always-pause-resume,2026-08-17
2026-08-24 01:28:21,2067,Morgan Quinn,London,SIP_ENTERPRISE,TERMINATING,+13125551007,+13125551008,Jamie Ortiz,Priya Nair,rnd-55-7,,User,True,No,Success,Success,,always-pause-resume,2026-08-24
2026-08-09 07:39:52,380,Riley Park,Denver,SIP_ENTERPRISE,TERMINATING,+13125551000,+13125551003,Alex Morgan,Taylor Brooks,rnd-56-7,CallQueue,User,True,Yes-PostRedirection,Success,Success,,always-pause-resume,2026-08-09
2026-08-26 05:38:33,453,Alex Morgan,Chicago,SIP_NATIONAL,TERMINATING,+13125551000,+155509918,Alex Morgan,+155509918,rnd-57-7,CallForwardNoAnswer,User,True,No,Success,Success,,,2026-08-26
2026-08-14 12:35:40,2062,Sam Chen,Denver,SIP_NATIONAL,TERMINATING,+13125551002,+155509940,Sam Chen,+155509940,rnd-58-7,HuntGroup,User,True,Yes,Success,Success,,always,2026-08-14
2026-08-18 12:10:41,1548,Casey Rivera,Denver,SIP_INBOUND,TERMINATING,+155509991,+13125551004,+155509991,Casey Rivera,rnd-59-7,,AutomatedAttendantVideo,True,Yes-PostRedirection,Success,Success,success,,2026-08-18
2026-08-27 08:24:50,1619,Casey Rivera,Singapore,SIP_MOBILE,TERMINATING,+13125551004,+155509956,Casey Rivera,+155509956,rnd-60-7,CallQueue,CallCenterPremium,True,Yes,Success,Success,,always,2026-08-27
2026-08-25 01:50:16,1285,Priya Nair,Denver,SIP_INTERNATIONAL,TERMINATING,+13125551008,+155509963,Priya Nair,+155509963,rnd-61-7,Deflection,User,True,No,Success,Success,,always,2026-08-25
2026-08-24 23:42:52,2327,Alex Morgan,Chicago,SIP_ENTERPRISE,TERMINATING,+13125551003,+13125551007,Taylor Brooks,Jamie Ortiz,rnd-62-7,ConsultativeTransfer,User,True,No,Success,Success,,,2026-08-24
2026-08-31 16:22:58,616,Alex Morgan,Dallas,SIP_ENTERPRISE,ORIGINATING,+13125551004,+13125551007,Casey Rivera,Jamie Ortiz,rnd-63-7,Deflection,HuntGroup,True,Yes-PostRedirection,Success,Success,,always-pause-resume,2026-08-31
2026-08-24 10:28:29,2023,Marcus Webb,Singapore,SIP_INBOUND,ORIGINATING,+155509961,+13125551009,+155509961,Marcus Webb,rnd-64-7,CallForwardBusy,User,True,Yes,Success,Success,success,always,2026-08-24
2026-08-06 09:11:18,1697,Taylor Brooks,Dallas,SIP_INBOUND,TERMINATING,+155509975,+13125551003,+155509975,Taylor Brooks,rnd-65-7,CallQueue,User,True,Yes-PostRedirection,Success,Success,,always,2026-08-06
2026-09-05 19:34:53,31,Jamie Ortiz,Singapore,SIP_INBOUND,ORIGINATING,+155509932,+13125551007,+155509932,Jamie Ortiz,rnd-66-7,CallQueue,User,True,Yes,Success,Success,,,2026-09-05
2026-08-07 04:52:48,1094,Casey Rivera,Chicago,SIP_ENTERPRISE,ORIGINATING,+13125551008,+13125551004,Priya Nair,Casey Rivera,rnd-67-7,CallQueue,AutomatedAttendantVideo,True,Yes,Success,Success,,always,2026-08-07
2026-08-14 01:42:51,1343,Taylor Brooks,Dallas,SIP_ENTERPRISE,TERMINATING,+13125551006,+13125551009,Riley Park,Marcus Webb,rnd-68-7,Deflection,User,True,No,Success,Success,,,2026-08-14
2026-08-13 05:58:06,323,Taylor Brooks,London,SIP_MOBILE,ORIGINATING,+13125551003,+155509989,Taylor Brooks,+155509989,rnd-69-7,HuntGroup,User,True,Yes-PostRedirection,Success,Success,success,always,2026-08-13
2026-08-06 22:58:01,196,Alex Morgan,Chicago,SIP_ENTERPRISE,ORIGINATING,+13125551008,+13125551001,Priya Nair,Jordan Lee,rnd-70-7,CallForwardBusy,User,False,Yes,Refusal,TemporarilyUnavailable,,always,2026-08-06
