Account name,Account type,Email,Location,Country,Connected endpoint,Primary connectivity,Event type
endpoint-45,User,user45@demo.example,Denver,GB,Yes,SIP,Registration
endpoint-46,User,user46@demo.example,London,US,Yes,SIP,Registration
endpoint-47,User,user47@demo.example,Chicago,US,Yes,PN,Registration
endpoint-48,Place,user48@demo.example,Denver,US,Yes,SIP,Registration
endpoint-49,Virtual Line,user49@demo.example,Dallas,US,Yes,SIP,Registration
endpoint-50,User,user50@demo.example,Denver,GB,Yes,PN,Registration
endpoint-51,User,user51@demo.example,Dallas,US,Yes,SIP,Registration
endpoint-52,Place,user52@demo.example,London,SG,Yes,SIP,Registration
endpoint-53,User,user53@demo.example,Chicago,US,Yes,PN,Registration
endpoint-54,User,user54@demo.example,Denver,US,Yes,SIP,Registration
endpoint-55,User,user55@demo.example,Singapore,US,Yes,PN,Registration
endpoint-56,User,user56@demo.example,Chicago,US,Yes,PN,Registration
endpoint-57,Virtual Line,user57@demo.example,Singapore,GB,Yes,SIP,Registration
endpoint-58,Place,user58@demo.example,Singapore,GB,Yes,SIP,Registration
endpoint-59,User,user59@demo.example,Chicago,GB,Yes,PN,Registration
endpoint-60,Virtual Line,user60@demo.example,Dallas,US,Yes,PN,Registration
endpoint-61,Virtual Line,user61@demo.example,Denver,SG,Yes,PN,Registration
endpoint-62,User,user62@demo.example,Denver,US,Yes,PN,Registration
endpoint-63,User,user63@demo.example,London,US,Yes,PN,Registration
endpoint-64,Virtual Line,user64@demo.example,Chicago,US,Yes,SIP,Registration
endpoint-65,Virtual Line,user65@demo.example,Dallas,US,Yes,SIP,Registration
endpoint-66,Virtual Line,user66@demo.example,Denver,US,Yes,SIP,Registration
endpoint-67,User,user67@demo.example,London,US,Yes,PN,Registration
endpoint-68,User,user68@demo.example,Dallas,SG,Yes,SIP,Registration
endpoint-69,User,user69@demo.example,Denver,US,Yes,PN,Registration
endpoint-70,User,user70@demo.example,Chicago,US,Yes,SIP,Registration
endpoint-71,Place,user71@demo.example,London,SG,Yes,PN,Registration
endpoint-72,User,user72@demo.example,Chicago,GB,Yes,SIP,Registration
endpoint-73,Place,user73@demo.example,Singapore,US,Yes,PN,Registration
endpoint-74,Place,user74@demo.example,London,SG,Yes,PN,Registration
endpoint-75,Place,user75@demo.example,London,US,Yes,SIP,Registration
endpoint-76,Virtual Line,user76@demo.example,Dallas,SG,Yes,SIP,Registration
endpoint-77,User,user77@demo.example,Singapore,US,Yes,SIP,Registration
endpoint-78,User,user78@demo.example,Denver,US,Yes,SIP,Registration
endpoint-79,User,user79@demo.example,London,US,Yes,SIP,Registration
endpoint-80,Virtual Line,user80@demo.example,Singapore,SG,Yes,PN,Registration
endpoint-81,User,user81@demo.example,Dallas,SG,Yes,SIP,Registration
endpoint-82,User,user82@demo.example,Denver,SG,Yes,SIP,Registration
endpoint-83,Virtual Line,user83@demo.example,London,SG,Yes,SIP,Registration
endpoint-84,User,user84@demo.example,Singapore,GB,Yes,SIP,Registration
endpoint-85,Place,user85@demo.example,London,US,Yes,SIP,Registration
endpoint-86,Place,user86@demo.example,Dallas,SG,Yes,SIP,Registration
endpoint-87,Place,user87@demo.example,Denver,GB,Yes,SIP,Registration
endpoint-88,Virtual Line,user88@demo.example,London,GB,Yes,PN,Registration
endpoint-89,User,user89@demo.example,Dallas,SG,Yes,PN,Registration
endpoint-90,Virtual Line,user90@demo.example,Singapore,GB,Yes,SIP,Registration
endpoint-91,User,user91@demo.example,Dallas,SG,Yes,SIP,Registration
endpoint-92,User,user92@demo.example,London,US,Yes,PN,Registration
endpoint-93,Place,user93@demo.example,Dallas,US,Yes,SIP,Registration
endpoint-94,Virtual Line,user94@demo.example,Singapore,US,Yes,PN,Registration
endpoint-95,Virtual Line,user95@demo.example,Chicago,GB,Yes,SIP,Registration
endpoint-96,User,user96@demo.example,Denver,GB,Yes,PN,Registration
endpoint-97,User,user97@demo.example,Singapore,US,Yes,PN,Registration
endpoint-98,Place,user98@demo.example,Dallas,GB,Yes,SIP,Registration
endpoint-99,User,user99@demo.example,Chicago,SG,Yes,SIP,Registration
endpoint-100,User,user100@demo.example,Denver,GB,Yes,PN,Registration
endpoint-101,User,user101@demo.example,London,SG,Yes,PN,Registration
endpoint-102,Place,user102@demo.example,Denver,GB,Yes,PN,Registration
endpoint-103,User,user103@demo.example,Denver,SG,Yes,PN,Registration
endpoint-104,Virtual Line,user104@demo.example,London,US,Yes,SIP,Registration
endpoint-105,User,user105@demo.example,Singapore,SG,Yes,PN,Registration
endpoint-106,User,user106@demo.example,London,US,Yes,SIP,Registration
endpoint-107,User,user107@demo.example,Chicago,SG,Yes,SIP,Registration
endpoint-108,Place,user108@demo.example,Singapore,GB,Yes,SIP,Registration
endpoint-109,Virtual Line,user109@demo.example,Denver,US,Yes,PN,Registration
endpoint-110,User,user110@demo.example,Denver,GB,Yes,SIP,Registration
endpoint-111,Place,user111@demo.example,Denver,US,Yes,PN,Registration
